title,link,image_link,variants,exshowroom_price,emi_starts_at
New Hyundai Venue,https://www.carandbike.com/hyundai-cars/venue,./carandbike.com_new-cars_models_6_files/hyundai-venue.webp,25,₹ 7.9 - 15.69 Lakh,"16,397"
Mahindra Bolero 2025,https://www.carandbike.com/mahindra-cars/bolero,./carandbike.com_new-cars_models_6_files/mahindra-bolero.webp,4,₹ 7.99 - 9.69 Lakh,"16,586"
Renault Triber 2025,https://www.carandbike.com/renault-cars/triber,./carandbike.com_new-cars_models_6_files/renault-triber.jpeg,7,₹ 6.14 - 9.42 Lakh,"12,749"
Tata Tiago,https://www.carandbike.com/tata-cars/tiago,./carandbike.com_new-cars_models_6_files/tata-tiago.webp,13,₹ 4.57 - 7.82 Lakh,"9,497"
Tata Harrier,https://www.carandbike.com/tata-cars/harrier,./carandbike.com_new-cars_models_6_files/tata-harrier.webp,23,₹ 14 - 25.25 Lakh,"29,061"
Tata Nexon,https://www.carandbike.com/tata-cars/nexon,./carandbike.com_new-cars_models_6_files/tata-nexon.jpeg,63,₹ 7.32 - 14.7 Lakh,"15,193"
Kia Seltos,https://www.carandbike.com/kia-cars/seltos,./carandbike.com_new-cars_models_6_files/kia-seltos.jpeg,23,₹ 10.79 - 19.81 Lakh,"22,404"
New Hyundai Verna,https://www.carandbike.com/hyundai-cars/verna,./carandbike.com_new-cars_models_6_files/hyundai-verna.webp,17,₹ 10.69 - 16.98 Lakh,"22,195"
Honda City,https://www.carandbike.com/honda-cars/city,./carandbike.com_new-cars_models_6_files/honda-city.webp,8,₹ 11.95 - 16.07 Lakh,"24,812"
Hyundai Grand i10 Nios,https://www.carandbike.com/hyundai-cars/grand-i10-nios,./carandbike.com_new-cars_models_6_files/hyundai-grand-i10-nios.jpeg,16,₹ 5.47 - 7.92 Lakh,"11,361"
Tata Tiago EV,https://www.carandbike.com/tata-cars/tiago-ev,./carandbike.com_new-cars_models_6_files/tata-tiago-ev.jpeg,7,₹ 8.89 - 13.8 Lakh,"18,459"
Toyota Urban Cruiser Hyryder,https://www.carandbike.com/toyota-cars/urban-cruiser-hyryder,./carandbike.com_new-cars_models_6_files/toyota-urban-cruiser-hyryder.jpeg,27,₹ 10.95 - 19.76 Lakh,"22,726"
Maruti Suzuki Alto K10,https://www.carandbike.com/maruti-suzuki-cars/alto-k10,./carandbike.com_new-cars_models_6_files/maruti-suzuki-alto-k10.jpeg,10,₹ 3.7 - 5.45 Lakh,"7,679"
Maruti Suzuki Ertiga,https://www.carandbike.com/maruti-suzuki-cars/ertiga,./carandbike.com_new-cars_models_6_files/maruti-suzuki-ertiga.webp,11,₹ 8.8 - 12.94 Lakh,"18,267"
Kia Carens,https://www.carandbike.com/kia-cars/carens,./carandbike.com_new-cars_models_6_files/kia-carens.jpeg,2,₹ 10.99 - 12.77 Lakh,"22,817"
Tata Punch,https://www.carandbike.com/tata-cars/punch,./carandbike.com_new-cars_models_6_files/tata-punch.jpeg,33,₹ 5.5 - 9.3 Lakh,"11,417"
Mahindra XUV700,https://www.carandbike.com/mahindra-cars/xuv700,./carandbike.com_new-cars_models_6_files/mahindra-xuv700.jpeg,67,₹ 13.66 - 25.19 Lakh,"28,352"
Maruti Suzuki Swift,https://www.carandbike.com/maruti-suzuki-cars/swift,./carandbike.com_new-cars_models_6_files/maruti-suzuki-swift.webp,13,₹ 5.79 - 8.65 Lakh,"12,017"
Toyota Fortuner,https://www.carandbike.com/toyota-cars/fortuner,./carandbike.com_new-cars_models_6_files/toyota-fortuner.jpeg,14,₹ 33.65 - 48.85 Lakh,"69,844"
Toyota Innova Crysta,https://www.carandbike.com/toyota-cars/innova-crysta,./carandbike.com_new-cars_models_6_files/toyota-innova-crysta.jpeg,22,₹ 18.1 - 25.37 Lakh,"37,564"
Hyundai i20,https://www.carandbike.com/hyundai-cars/elite-i20,./carandbike.com_new-cars_models_6_files/hyundai-elite-i20.jpeg,18,₹ 6.87 - 10.52 Lakh,"14,258"
Maruti Suzuki Wagon R,https://www.carandbike.com/maruti-suzuki-cars/wagon-r,./carandbike.com_new-cars_models_6_files/maruti-suzuki-wagon-r.webp,11,₹ 5.16 - 7.94 Lakh,"10,709"
Mahindra Bolero Maxx Pik-Up,https://www.carandbike.com/mahindra-cars/bolero-pik-up,./carandbike.com_new-cars_models_6_files/mahindra-bolero-pik-up.webp,18,₹ 9.28 - 13.18 Lakh,"19,254"
Maruti Suzuki Eeco,https://www.carandbike.com/maruti-suzuki-cars/eeco,./carandbike.com_new-cars_models_6_files/maruti-suzuki-eeco.webp,4,₹ 5.21 - 6.36 Lakh,"10,813"
Tata Altroz 2025,https://www.carandbike.com/tata-cars/altroz,./carandbike.com_new-cars_models_6_files/tata-altroz.webp,22,₹ 6.3 - 10.51 Lakh,"13,086"
Kia EV6,https://www.carandbike.com/kia-cars/ev6,./carandbike.com_new-cars_models_6_files/kia-ev6.webp,1,₹ 76.52 Lakh,"1,58,841"
Renault Kiger,https://www.carandbike.com/renault-cars/kiger,./carandbike.com_new-cars_models_6_files/renault-kiger.webp,15,₹ 6.14 - 11.73 Lakh,"12,749"
Honda Amaze 2nd Gen,https://www.carandbike.com/honda-cars/amaze,./carandbike.com_new-cars_models_6_files/honda-amaze.webp,2,₹ 6.98 - 7.8 Lakh,"14,483"
Hyundai 2024 Alcazar,https://www.carandbike.com/hyundai-cars/alcazar,./carandbike.com_new-cars_models_6_files/hyundai-alcazar.webp,44,₹ 14.47 - 21.1 Lakh,"30,044"
Jeep 2024 Wrangler,https://www.carandbike.com/jeep-cars/wrangler-unlimited,./carandbike.com_new-cars_models_6_files/jeep-wrangler-unlimited.webp,2,₹ 64.08 - 67.81 Lakh,"1,33,020"
Kia Sonet,https://www.carandbike.com/kia-cars/sonet,./carandbike.com_new-cars_models_6_files/kia-sonet.webp,24,₹ 7.3 - 14.09 Lakh,"15,156"
Tata Safari,https://www.carandbike.com/tata-cars/safari,./carandbike.com_new-cars_models_6_files/tata-safari.webp,24,₹ 14.66 - 25.96 Lakh,"30,438"
Tata Nexon EV,https://www.carandbike.com/tata-cars/nexon-ev,./carandbike.com_new-cars_models_6_files/tata-nexon-ev.webp,11,₹ 14.49 - 20.06 Lakh,"30,082"
Jeep Compass,https://www.carandbike.com/jeep-cars/compass,./carandbike.com_new-cars_models_6_files/jeep-compass.webp,22,₹ 17.73 - 30.58 Lakh,"36,805"
Toyota Vellfire,https://www.carandbike.com/toyota-cars/vellfire,./carandbike.com_new-cars_models_6_files/toyota-vellfire.webp,2,₹ 1.2 - 1.3 Crore,"2,48,548"
Hyundai Exter,https://www.carandbike.com/hyundai-cars/exter,./carandbike.com_new-cars_models_6_files/hyundai-exter.webp,44,₹ 5.49 - 9.57 Lakh,"11,391"
Toyota Land Crusier 300 2025,https://www.carandbike.com/toyota-cars/land-cruiser,./carandbike.com_new-cars_models_6_files/toyota-land-cruiser.jpeg,2,₹ 2.16 - 2.25 Crore,"4,47,550"
MG Hector,https://www.carandbike.com/mg-cars/hector,./carandbike.com_new-cars_models_6_files/mg-hector.webp,20,₹ 14 - 21.52 Lakh,"29,062"
Toyota Innova Hycross,https://www.carandbike.com/toyota-cars/innova-hycross,./carandbike.com_new-cars_models_6_files/toyota-innova-hycross.webp,25,₹ 18.06 - 30.93 Lakh,"37,485"
Mahindra Scorpio-N,https://www.carandbike.com/mahindra-cars/scorpio-n,./carandbike.com_new-cars_models_6_files/mahindra-scorpio-n.webp,32,₹ 13.2 - 23.98 Lakh,"27,405"
Range Rover,https://www.carandbike.com/land-rover-cars/range-rover,./carandbike.com_new-cars_models_6_files/land-rover-range-rover.jpeg,5,₹ 2.31 - 4.66 Crore,"4,79,518"
Volkswagen Taigun,https://www.carandbike.com/volkswagen-cars/taigun,./carandbike.com_new-cars_models_6_files/volkswagen-taigun.webp,13,₹ 11.42 - 19.19 Lakh,"23,704"
Skoda Kushaq,https://www.carandbike.com/skoda-cars/kushaq,./carandbike.com_new-cars_models_6_files/skoda-kushaq.webp,32,₹ 10.61 - 18.45 Lakh,"22,027"
Defender,https://www.carandbike.com/land-rover-cars/defender,./carandbike.com_new-cars_models_6_files/land-rover-defender.webp,20,₹ 1 - 2.6 Crore,"2,08,269"
Renault Kwid,https://www.carandbike.com/renault-cars/kwid,./carandbike.com_new-cars_models_6_files/renault-kwid.webp,12,₹ 4.29 - 5.9 Lakh,"8,915"
Maruti Suzuki S-Presso,https://www.carandbike.com/maruti-suzuki-cars/s-presso,./carandbike.com_new-cars_models_6_files/maruti-suzuki-s-presso.webp,8,₹ 3.5 - 5.25 Lakh,"7,263"
Bajaj Qute,https://www.carandbike.com/bajaj-cars/qute,./carandbike.com_new-cars_models_6_files/bajaj-qute.webp,2,₹ 2.82 - 3.06 Lakh,"5,845"
Force Motors Gurkha,https://www.carandbike.com/force-motors-cars/gurkha,./carandbike.com_new-cars_models_6_files/force-motors-gurkha.jpeg,2,₹ 19.46 - 20.92 Lakh,"40,406"
Mahindra Bolero Neo 2025,https://www.carandbike.com/mahindra-cars/bolero-neo,./carandbike.com_new-cars_models_6_files/mahindra-bolero-neo.webp,5,₹ 8.49 - 10.49 Lakh,"17,624"
Tata Tigor,https://www.carandbike.com/tata-cars/tigor,./carandbike.com_new-cars_models_6_files/tata-tigor.webp,14,₹ 5.49 - 8.74 Lakh,"11,396"
Toyota Camry 2025,https://www.carandbike.com/toyota-cars/camry,./carandbike.com_new-cars_models_6_files/toyota-camry.webp,4,₹ 47.48 - 47.62 Lakh,"98,565"
Audi Q7 2025,https://www.carandbike.com/audi-cars/q7,./carandbike.com_new-cars_models_6_files/audi-q7.webp,4,₹ 86.14 - 95.03 Lakh,"1,78,812"
Citroen C3,https://www.carandbike.com/citroen-cars/c3,./carandbike.com_new-cars_models_6_files/citroen-c3.webp,6,₹ 4.8 - 9.05 Lakh,"9,969"
BMW X5,https://www.carandbike.com/bmw-cars/x5,./carandbike.com_new-cars_models_6_files/bmw-x5.webp,4,₹ 1 - 1.16 Crore,"2,06,165"
Maruti Suzuki Jimny,https://www.carandbike.com/maruti-suzuki-cars/jimny,./carandbike.com_new-cars_models_6_files/maruti-suzuki-jimny.jpeg,6,₹ 12.31 - 14.45 Lakh,"25,564"
Maruti Suzuki Fronx,https://www.carandbike.com/maruti-suzuki-cars/fronx,./carandbike.com_new-cars_models_6_files/maruti-suzuki-fronx.webp,14,₹ 6.85 - 11.98 Lakh,"14,217"
Audi Q3,https://www.carandbike.com/audi-cars/q3,./carandbike.com_new-cars_models_6_files/audi-q3.jpeg,4,₹ 43.07 - 52.31 Lakh,"89,406"
BMW X7,https://www.carandbike.com/bmw-cars/x7,./carandbike.com_new-cars_models_6_files/bmw-x7.jpeg,3,₹ 1.33 - 1.4 Crore,"2,76,315"
Mahindra Scorpio Classic,https://www.carandbike.com/mahindra-cars/scorpio-classic,./carandbike.com_new-cars_models_6_files/mahindra-scorpio-classic.webp,4,₹ 12.98 - 16.7 Lakh,"26,938"
Volkswagen Virtus,https://www.carandbike.com/volkswagen-cars/virtus,./carandbike.com_new-cars_models_6_files/volkswagen-virtus.webp,13,₹ 11.2 - 18.78 Lakh,"23,251"
Maruti Suzuki XL6,https://www.carandbike.com/maruti-suzuki-cars/xl6,./carandbike.com_new-cars_models_6_files/maruti-suzuki-xl6.webp,9,₹ 11.52 - 14.47 Lakh,"23,920"
Toyota Glanza,https://www.carandbike.com/toyota-cars/glanza,./carandbike.com_new-cars_models_6_files/toyota-glanza.jpeg,9,₹ 6.39 - 9.15 Lakh,"13,271"
Maruti Suzuki Baleno,https://www.carandbike.com/maruti-suzuki-cars/baleno,./carandbike.com_new-cars_models_6_files/maruti-suzuki-baleno.webp,9,₹ 5.99 - 9.1 Lakh,"12,432"
Mahindra Bolero Camper,https://www.carandbike.com/mahindra-cars/bolero-camper,./carandbike.com_new-cars_models_6_files/mahindra-bolero-camper.webp,3,₹ 9.96 - 12.51 Lakh,"20,665"
Volvo XC90,https://www.carandbike.com/volvo-cars/xc90,./carandbike.com_new-cars_models_6_files/volvo-xc90.webp,1,₹ 1.13 Crore,"2,33,881"
Maruti Suzuki Celerio,https://www.carandbike.com/maruti-suzuki-cars/celerio,./carandbike.com_new-cars_models_6_files/maruti-suzuki-celerio.webp,8,₹ 4.7 - 6.73 Lakh,"9,754"
Audi A4,https://www.carandbike.com/audi-cars/a4,./carandbike.com_new-cars_models_6_files/audi-a4.webp,5,₹ 46.25 - 55.11 Lakh,"96,007"
MG Gloster,https://www.carandbike.com/mg-cars/gloster,./carandbike.com_new-cars_models_6_files/mg-gloster.webp,5,₹ 38.33 - 42.49 Lakh,"79,567"
Maruti Suzuki Ignis,https://www.carandbike.com/maruti-suzuki-cars/ignis,./carandbike.com_new-cars_models_6_files/maruti-suzuki-ignis.webp,11,₹ 5.02 - 7.55 Lakh,"10,425"
Maruti Suzuki Ciaz,https://www.carandbike.com/maruti-suzuki-cars/ciaz,./carandbike.com_new-cars_models_6_files/maruti-suzuki-ciaz.webp,9,₹ 9.09 - 11.89 Lakh,"18,869"
Lamborghini Urus,https://www.carandbike.com/lamborghini-cars/urus,./carandbike.com_new-cars_models_6_files/lamborghini-urus.webp,2,₹ 4.75 - 4.8 Crore,"9,86,422"
Isuzu D-Max,https://www.carandbike.com/isuzu-cars/d-max,./carandbike.com_new-cars_models_6_files/isuzu-d-max.webp,6,₹ 10.14 - 20.35 Lakh,"21,050"
Skoda Kodiaq 2025,https://www.carandbike.com/skoda-cars/kodiaq,./carandbike.com_new-cars_models_6_files/skoda-kodiaq.webp,3,₹ 39.99 - 45.96 Lakh,"83,013"
BMW M340i,https://www.carandbike.com/bmw-cars/3-series,./carandbike.com_new-cars_models_6_files/bmw-3-series.webp,3,₹ 65.01 - 79.53 Lakh,"1,34,951"
Honda Elevate,https://www.carandbike.com/honda-cars/elevate,./carandbike.com_new-cars_models_6_files/honda-elevate.webp,17,₹ 11 - 16.67 Lakh,"22,832"
Maruti Suzuki Invicto,https://www.carandbike.com/maruti-suzuki-cars/invicto,./carandbike.com_new-cars_models_6_files/maruti-suzuki-invicto.webp,3,₹ 24.97 - 28.61 Lakh,"51,842"
BMW Z4,https://www.carandbike.com/bmw-cars/z4,./carandbike.com_new-cars_models_6_files/bmw-z4.webp,3,₹ 94.53 Lakh - 1.05 Crore,"1,96,227"
MG Comet EV,https://www.carandbike.com/mg-cars/comet-ev,./carandbike.com_new-cars_models_6_files/mg-comet-ev.webp,6,₹ 7.5 - 10 Lakh,"15,565"
BMW X1,https://www.carandbike.com/bmw-cars/x1,./carandbike.com_new-cars_models_6_files/bmw-x1.webp,3,₹ 55.5 - 75.13 Lakh,"1,15,199"
Hyundai Ioniq 5,https://www.carandbike.com/hyundai-cars/ioniq-5,./carandbike.com_new-cars_models_6_files/hyundai-ioniq-5.webp,1,₹ 53.71 Lakh,"1,11,489"
BMW 7 Series,https://www.carandbike.com/bmw-cars/7-series,./carandbike.com_new-cars_models_6_files/bmw-7-series.webp,2,₹ 1.93 - 2.01 Crore,"4,00,592"
Jeep Grand Cherokee,https://www.carandbike.com/jeep-cars/grand-cherokee,./carandbike.com_new-cars_models_6_files/jeep-grand-cherokee.webp,1,₹ 63 Lakh,"1,30,778"
Volvo XC60,https://www.carandbike.com/volvo-cars/xc60,./carandbike.com_new-cars_models_6_files/volvo-xc60.webp,1,₹ 76.29 Lakh,"1,58,370"
Toyota Hilux,https://www.carandbike.com/toyota-cars/hilux,./carandbike.com_new-cars_models_6_files/toyota-hilux.webp,4,₹ 28.02 - 35.37 Lakh,"58,173"
MG ZS EV,https://www.carandbike.com/mg-cars/zs-ev,./carandbike.com_new-cars_models_6_files/mg-zs-ev.webp,7,₹ 17.99 - 20.5 Lakh,"37,344"
BMW X3,https://www.carandbike.com/bmw-cars/x3,./carandbike.com_new-cars_models_6_files/bmw-x3.webp,2,₹ 75.55 - 79.27 Lakh,"1,56,828"
BMW iX,https://www.carandbike.com/bmw-cars/ix,./carandbike.com_new-cars_models_6_files/bmw-ix.webp,1,₹ 1.62 Crore,"3,35,893"
Audi Q5,https://www.carandbike.com/audi-cars/q5,./carandbike.com_new-cars_models_6_files/audi-q5.webp,3,₹ 64.74 - 69.86 Lakh,"1,34,390"
MG Astor,https://www.carandbike.com/mg-cars/astor,./carandbike.com_new-cars_models_6_files/mg-astor.webp,9,₹ 9.65 - 15.36 Lakh,"20,032"
Tata Tigor EV,https://www.carandbike.com/tata-cars/tigor-ev,./carandbike.com_new-cars_models_6_files/tata-tigor-ev.webp,1,₹ 15.07 Lakh,"31,286"
Isuzu D-Max V-Cross,https://www.carandbike.com/isuzu-cars/d-max-v-cross,./carandbike.com_new-cars_models_6_files/isuzu-d-max-v-cross.webp,5,₹ 19.73 - 35.97 Lakh,"40,960"
BMW 6 Series Gran Turismo,https://www.carandbike.com/bmw-cars/6-series-gran-turismo,./carandbike.com_new-cars_models_6_files/bmw-6-series-gran-turismo.webp,4,₹ 79.04 - 86.72 Lakh,"1,64,082"
Audi A6,https://www.carandbike.com/audi-cars/a6,./carandbike.com_new-cars_models_6_files/audi-a6.webp,4,₹ 63.74 - 70.79 Lakh,"1,32,314"
Mahindra Marazzo,https://www.carandbike.com/mahindra-cars/marazzo,./carandbike.com_new-cars_models_6_files/mahindra-marazzo.webp,6,₹ 14.06 - 16.38 Lakh,"29,184"
Mahindra Bolero Big Pik-Up,https://www.carandbike.com/mahindra-cars/bolero-big-pik-up,./carandbike.com_new-cars_models_6_files/mahindra-bolero-big-pik-up.webp,3,₹ 9.87 - 10.17 Lakh,"20,480"
Range Rover Sport,https://www.carandbike.com/land-rover-cars/range-rover-sport,./carandbike.com_new-cars_models_6_files/land-rover-range-rover-sport.webp,4,₹ 1.38 - 2.75 Crore,"2,85,773"
BMW 2 Series Gran Coupe,https://www.carandbike.com/bmw-cars/2-series-gran-coupe,./carandbike.com_new-cars_models_6_files/bmw-2-series-gran-coupe.webp,2,₹ 48.72 - 50.76 Lakh,"1,01,131"
Lexus LX,https://www.carandbike.com/lexus-cars/lx,./carandbike.com_new-cars_models_6_files/lexus-lx.webp,2,₹ 2.8 - 2.91 Crore,"5,81,234"
BMW M5,https://www.carandbike.com/bmw-cars/m5,./carandbike.com_new-cars_models_6_files/bmw-m5.webp,1,₹ 2.21 Crore,"4,57,880"
Nissan Magnite,https://www.carandbike.com/nissan-cars/magnite,./carandbike.com_new-cars_models_6_files/nissan-magnite.webp,40,₹ 5.62 - 10.76 Lakh,"11,659"
Audi Q8,https://www.carandbike.com/audi-cars/q8,./carandbike.com_new-cars_models_6_files/audi-q8.webp,1,₹ 1.1 Crore,"2,27,636"
Tata Curvv EV,https://www.carandbike.com/tata-cars/curvv-ev,./carandbike.com_new-cars_models_6_files/tata-curvv-ev.webp,8,₹ 20.31 - 25.82 Lakh,"42,155"
Nissan X-Trail,https://www.carandbike.com/nissan-cars/x-trail,./carandbike.com_new-cars_models_6_files/nissan-x-trail.webp,1,₹ 54.75 Lakh,"1,13,651"
BMW 5 Series,https://www.carandbike.com/bmw-cars/5-series,./carandbike.com_new-cars_models_6_files/bmw-5-series.webp,1,₹ 77.81 Lakh,"1,61,515"
BMW M4,https://www.carandbike.com/bmw-cars/m4,./carandbike.com_new-cars_models_6_files/bmw-m4.webp,2,₹ 1.64 - 1.92 Crore,"3,39,986"
Citroen Aircross,https://www.carandbike.com/citroen-cars/c3-aircross,./carandbike.com_new-cars_models_6_files/citroen-c3-aircross.webp,17,₹ 8.32 - 14.1 Lakh,"17,271"
Range Rover Velar,https://www.carandbike.com/land-rover-cars/range-rover-velar,./carandbike.com_new-cars_models_6_files/land-rover-range-rover-velar.webp,3,₹ 79.24 - 83.91 Lakh,"1,64,489"
Porsche Cayenne,https://www.carandbike.com/porsche-cars/cayenne,./carandbike.com_new-cars_models_6_files/porsche-cayenne.webp,3,₹ 1.69 - 2.36 Crore,"3,51,625"
Mahindra XUV400,https://www.carandbike.com/mahindra-cars/xuv400,./carandbike.com_new-cars_models_6_files/mahindra-xuv400.webp,5,₹ 15.49 - 17.69 Lakh,"32,155"
BMW i7,https://www.carandbike.com/bmw-cars/i7,./carandbike.com_new-cars_models_6_files/bmw-i7.webp,2,₹ 2.36 - 2.9 Crore,"4,89,591"
Citroen C5 Aircross,https://www.carandbike.com/citroen-cars/c5-aircross,./carandbike.com_new-cars_models_6_files/citroen-c5-aircross.webp,2,₹ 46.47 Lakh,"96,454"
Skoda Slavia,https://www.carandbike.com/skoda-cars/slavia,./carandbike.com_new-cars_models_6_files/skoda-slavia.webp,26,₹ 10 - 17.7 Lakh,"20,756"
Tata Tiago NRG,https://www.carandbike.com/tata-cars/tiago-nrg,./carandbike.com_new-cars_models_6_files/tata-tiago-nrg.webp,4,₹ 6.68 - 8.1 Lakh,"13,864"
Jaguar F-Pace,https://www.carandbike.com/jaguar-cars/f-pace,./carandbike.com_new-cars_models_6_files/jaguar-f-pace.webp,2,₹ 82.88 - 84.7 Lakh,"1,72,041"
MINI Countryman,https://www.carandbike.com/mini-cars/countryman,./carandbike.com_new-cars_models_6_files/mini-countryman.webp,1,₹ 64.9 Lakh,"1,34,722"
Discovery Sport,https://www.carandbike.com/land-rover-cars/discovery-sport,./carandbike.com_new-cars_models_6_files/land-rover-discovery-sport.webp,2,₹ 72.05 - 73.63 Lakh,"1,49,560"
Kia Carnival,https://www.carandbike.com/kia-cars/carnival,./carandbike.com_new-cars_models_6_files/kia-carnival.webp,1,₹ 59.42 Lakh,"1,23,356"
Porsche 911,https://www.carandbike.com/porsche-cars/911,./carandbike.com_new-cars_models_6_files/porsche-911.webp,4,₹ 2 - 3.8 Crore,"4,14,835"
Range Rover Evoque,https://www.carandbike.com/land-rover-cars/range-rover-evoque,./carandbike.com_new-cars_models_6_files/land-rover-range-rover-evoque.webp,2,₹ 73.75 - 75.37 Lakh,"1,53,084"
Porsche Panamera,https://www.carandbike.com/porsche-cars/panamera,./carandbike.com_new-cars_models_6_files/porsche-panamera.webp,2,₹ 2.05 - 2.81 Crore,"4,24,780"
Mercedes-Benz E-Class,https://www.carandbike.com/mercedes-benz-cars/e-class,./carandbike.com_new-cars_models_6_files/mercedes-benz-e-class.webp,3,₹ 83 - 96.9 Lakh,"1,72,294"
Mercedes-AMG GLC 43 Coupe,https://www.carandbike.com/mercedes-amg-cars/glc-43-coupe,./carandbike.com_new-cars_models_6_files/mercedes-amg-glc-43-coupe.webp,1,₹ 1.17 Crore,"2,42,286"
Porsche Taycan,https://www.carandbike.com/porsche-cars/taycan,./carandbike.com_new-cars_models_6_files/porsche-taycan.webp,3,₹ 1.97 - 3.12 Crore,"4,09,330"
Volvo EX30 Recharge,https://www.carandbike.com/volvo-cars/ex30-recharge,./carandbike.com_new-cars_models_6_files/volvo-ex30-recharge.webp,1,₹ 39.99 Lakh,"83,013"
Mercedes-Benz GLA,https://www.carandbike.com/mercedes-benz-cars/gla-class,./carandbike.com_new-cars_models_6_files/mercedes-benz-gla-class.webp,3,₹ 51.5 - 56.5 Lakh,"1,06,906"
Tata Punch EV,https://www.carandbike.com/tata-cars/punch-ev,./carandbike.com_new-cars_models_6_files/tata-punch-ev.webp,20,₹ 11.12 - 16.75 Lakh,"23,078"
Mercedes-Benz GLE,https://www.carandbike.com/mercedes-benz-cars/gle-class,./carandbike.com_new-cars_models_6_files/mercedes-benz-gle-class.webp,3,₹ 1.03 - 1.2 Crore,"2,13,811"
Toyota Rumion,https://www.carandbike.com/toyota-cars/rumion,./carandbike.com_new-cars_models_6_files/toyota-rumion.webp,7,₹ 10.44 - 13.62 Lakh,"21,676"
BMW M2 2025,https://www.carandbike.com/bmw-cars/m2,./carandbike.com_new-cars_models_6_files/bmw-m2.webp,1,₹ 1.08 Crore,"2,23,795"
Lexus RX,https://www.carandbike.com/lexus-cars/rx,./carandbike.com_new-cars_models_6_files/lexus-rx.webp,2,₹ 89.99 Lakh - 1.09 Crore,"1,86,804"
Citroen eC3,https://www.carandbike.com/citroen-cars/ec3,./carandbike.com_new-cars_models_6_files/citroen-ec3.webp,7,₹ 12.9 - 13.53 Lakh,"26,778"
Bentley Bentayga,https://www.carandbike.com/bentley-cars/bentayga,./carandbike.com_new-cars_models_6_files/bentley-bentayga.webp,3,₹ 5.48 - 5.6 Crore,"11,37,645"
MG Hector Plus,https://www.carandbike.com/mg-cars/hector-plus,./carandbike.com_new-cars_models_6_files/mg-hector-plus.webp,24,₹ 16.05 - 21.34 Lakh,"33,317"
