title,link,image_link,variants,exshowroom_price,emi_starts_at
BMW XM,https://www.carandbike.com/bmw-cars/xm,./carandbike.com_new-cars_models_6_files/bmw-xm.webp,2,₹ 2.76 - 3.42 Crore,"5,72,989"
BYD Atto 3 EV 2025,https://www.carandbike.com/byd-cars/atto-3-ev,./carandbike.com_new-cars_models_6_files/byd-atto-3-ev.webp,3,₹ 28.99 - 39.43 Lakh,"60,179"
BMW i4,https://www.carandbike.com/bmw-cars/i4,./carandbike.com_new-cars_models_6_files/bmw-i4.webp,2,₹ 84.24 - 90.05 Lakh,"1,74,860"
Mercedes-Benz C-Class,https://www.carandbike.com/mercedes-benz-cars/c-class,./carandbike.com_new-cars_models_6_files/mercedes-benz-c-class.webp,3,₹ 61 - 68 Lakh,"1,26,626"
Lexus NX,https://www.carandbike.com/lexus-cars/nx,./carandbike.com_new-cars_models_6_files/lexus-nx.webp,4,₹ 66.59 - 73.4 Lakh,"1,38,230"
Porsche Macan,https://www.carandbike.com/porsche-cars/macan,./carandbike.com_new-cars_models_6_files/porsche-macan.webp,1,₹ 1 Crore,"2,07,817"
Hyundai i20 N Line,https://www.carandbike.com/hyundai-cars/i20-n-line,./carandbike.com_new-cars_models_6_files/hyundai-i20-n-line.webp,8,₹ 9.14 - 11.6 Lakh,"18,979"
Discovery,https://www.carandbike.com/land-rover-cars/discovery,./carandbike.com_new-cars_models_6_files/land-rover-discovery.webp,3,₹ 1.46 - 1.59 Crore,"3,02,087"
Isuzu MU-X,https://www.carandbike.com/isuzu-cars/mu-x,./carandbike.com_new-cars_models_6_files/isuzu-mu-x.webp,2,₹ 40.67 - 44.04 Lakh,"84,418"
Ferrari Portofino,https://www.carandbike.com/ferrari-cars/portofino,./carandbike.com_new-cars_models_6_files/ferrari-portofino.webp,1,₹ 3.31 Crore,"6,87,270"
Bentley Continental,https://www.carandbike.com/bentley-cars/continental,./carandbike.com_new-cars_models_6_files/bentley-continental.webp,8,₹ 3.77 - 5.03 Crore,"7,83,112"
Aston Martin V12 Vanquish,https://www.carandbike.com/aston-martin-cars/v12-vanquish,./carandbike.com_new-cars_models_6_files/aston-martin-v12-vanquish.webp,1,₹ 8.37 Crore,"17,37,811"
Mercedes-AMG C 63,https://www.carandbike.com/mercedes-amg-cars/c-63-s,./carandbike.com_new-cars_models_6_files/mercedes-amg-c-63-s.webp,1,₹ 1.95 Crore,"4,04,788"
Jeep Meridian,https://www.carandbike.com/jeep-cars/meridian,./carandbike.com_new-cars_models_6_files/jeep-meridian.webp,12,₹ 23.33 - 36.21 Lakh,"48,429"
Mercedes-AMG G 63,https://www.carandbike.com/mercedes-amg-cars/g-63,./carandbike.com_new-cars_models_6_files/mercedes-amg-g-63.webp,2,₹ 3.85 - 4.01 Crore,"7,99,197"
Kia EV9,https://www.carandbike.com/kia-cars/ev9,./carandbike.com_new-cars_models_6_files/kia-ev9.webp,1,₹ 1.51 Crore,"3,12,778"
Mercedes-Benz GLS,https://www.carandbike.com/mercedes-benz-cars/gls,./carandbike.com_new-cars_models_6_files/mercedes-benz-gls.webp,4,₹ 1.37 - 1.44 Crore,"2,84,389"
Mercedes-AMG C 43,https://www.carandbike.com/mercedes-amg-cars/c-43,./carandbike.com_new-cars_models_6_files/mercedes-amg-c-43.webp,1,₹ 1 Crore,"2,06,338"
McLaren Artura,https://www.carandbike.com/mclaren-cars/artura,./carandbike.com_new-cars_models_6_files/mclaren-artura.webp,1,₹ 5.68 Crore,"11,79,929"
Audi Q3 Sportback,https://www.carandbike.com/audi-cars/q3-sportback,./carandbike.com_new-cars_models_6_files/audi-q3-sportback.webp,2,₹ 53.55 - 53.86 Lakh,"1,11,161"
Mercedes-Maybach S-Class,https://www.carandbike.com/mercedes-maybach-cars/s-class,./carandbike.com_new-cars_models_6_files/mercedes-maybach-s-class.webp,2,₹ 2.9 - 3.67 Crore,"6,01,992"
Mercedes-Benz S-Class,https://www.carandbike.com/mercedes-benz-cars/s-class,./carandbike.com_new-cars_models_6_files/mercedes-benz-s-class.webp,2,₹ 1.88 - 1.99 Crore,"3,90,257"
Audi S5,https://www.carandbike.com/audi-cars/s5,./carandbike.com_new-cars_models_6_files/audi-s5.webp,2,₹ 73.57 - 80.5 Lakh,"1,52,719"
Aston Martin DBX,https://www.carandbike.com/aston-martin-cars/dbx,./carandbike.com_new-cars_models_6_files/aston-martin-dbx.webp,1,₹ 4.38 Crore,"9,09,160"
Audi RS Q8,https://www.carandbike.com/audi-cars/rs-q8,./carandbike.com_new-cars_models_6_files/audi-rs-q8.webp,1,₹ 2.32 Crore,"4,82,424"
Mercedes-AMG GT,https://www.carandbike.com/mercedes-amg-cars/gt,./carandbike.com_new-cars_models_6_files/mercedes-amg-gt.webp,2,₹ 3.05 - 3.65 Crore,"6,33,130"
BMW M8,https://www.carandbike.com/bmw-cars/m8,./carandbike.com_new-cars_models_6_files/bmw-m8.webp,1,₹ 2.56 Crore,"5,32,185"
Mercedes-Benz GLC,https://www.carandbike.com/mercedes-benz-cars/glc,./carandbike.com_new-cars_models_6_files/mercedes-benz-glc.webp,2,₹ 79.25 Lakh,"1,64,510"
Maserati Levante,https://www.carandbike.com/maserati-cars/levante,./carandbike.com_new-cars_models_6_files/maserati-levante.webp,6,₹ 1.61 - 1.82 Crore,"3,35,106"
Lexus ES,https://www.carandbike.com/lexus-cars/es,./carandbike.com_new-cars_models_6_files/lexus-es.jpeg,2,₹ 62.65 - 68.23 Lakh,"1,30,051"
Rolls-Royce Ghost,https://www.carandbike.com/rolls-royce-cars/ghost,./carandbike.com_new-cars_models_6_files/rolls-royce-ghost.webp,3,₹ 10.16 - 11.94 Crore,"21,08,515"
Bentley Flying Spur,https://www.carandbike.com/bentley-cars/flying-spur,./carandbike.com_new-cars_models_6_files/bentley-flying-spur.webp,1,₹ 6.1 Crore,"12,66,170"
Maserati Quattroporte,https://www.carandbike.com/maserati-cars/quattroporte,./carandbike.com_new-cars_models_6_files/maserati-quattroporte.webp,7,₹ 1.89 - 2.91 Crore,"3,91,312"
Rolls-Royce Phantom,https://www.carandbike.com/rolls-royce-cars/phantom,./carandbike.com_new-cars_models_6_files/rolls-royce-phantom.webp,2,₹ 10.86 - 12.97 Crore,"22,54,174"
Mercedes-AMG GLE Coupe,https://www.carandbike.com/mercedes-amg-cars/gle-coupe,./carandbike.com_new-cars_models_6_files/mercedes-amg-gle-coupe.webp,3,₹ 1.55 - 9.13 Crore,"3,21,755"
Porsche Cayenne Electric,https://www.carandbike.com/porsche-cars/cayenne-electric,./carandbike.com_new-cars_models_6_files/porsche-cayenne-electric.webp,2,₹ 1.75 - 2.25 Crore,"3,63,271"
Maserati Grecale Folgore,https://www.carandbike.com/maserati-cars/grecale-folgore,./carandbike.com_new-cars_models_6_files/maserati-grecale-folgore.webp,2,₹ 3.05 - 3.18 Crore,"6,33,130"
Skoda Octavia RS,https://www.carandbike.com/skoda-cars/octavia-rs,./carandbike.com_new-cars_models_6_files/skoda-octavia-rs.webp,1,₹ 49.99 Lakh,"1,03,771"
Maserati MCPura,https://www.carandbike.com/maserati-cars/mcpura,./carandbike.com_new-cars_models_6_files/maserati-mcpura.webp,2,₹ 4.12 - 5.12 Crore,"8,55,244"
Citroen Aircross X,https://www.carandbike.com/citroen-cars/aircross-x,./carandbike.com_new-cars_models_6_files/citroen-aircross-x.webp,7,₹ 8.29 - 13.69 Lakh,"17,209"
Maruti Suzuki Victoris,https://www.carandbike.com/maruti-suzuki-cars/victoris,./carandbike.com_new-cars_models_6_files/maruti-suzuki-victoris.webp,35,₹ 10.5 - 19.99 Lakh,"21,794"
VinFast VF7,https://www.carandbike.com/vinfast-cars/vf7,./carandbike.com_new-cars_models_6_files/vinfast-vf7.webp,5,₹ 24.23 - 29.57 Lakh,"50,307"
VinFast VF6,https://www.carandbike.com/vinfast-cars/vf6,./carandbike.com_new-cars_models_6_files/vinfast-vf6.webp,3,₹ 19.13 - 21.22 Lakh,"39,713"
Citroen Basalt X,https://www.carandbike.com/citroen-cars/basalt-x,./carandbike.com_new-cars_models_6_files/citroen-basalt-x.webp,8,₹ 7.95 - 13.11 Lakh,"16,503"
Mercedes-AMG CLE 53,https://www.carandbike.com/mercedes-amg-cars/cle-53,./carandbike.com_new-cars_models_6_files/mercedes-amg-cle-53.webp,1,₹ 1.35 Crore,"2,80,238"
MG M9 EV,https://www.carandbike.com/mg-cars/m9-ev,./carandbike.com_new-cars_models_6_files/mg-m9-ev.webp,1,₹ 81.08 Lakh,"1,68,312"
Tesla Model Y,https://www.carandbike.com/tesla-cars/model-y,./carandbike.com_new-cars_models_6_files/tesla-model-y.webp,2,₹ 69.47 - 78.75 Lakh,"1,44,210"
Kia Carens Clavis EV,https://www.carandbike.com/kia-cars/carens-clavis-ev,./carandbike.com_new-cars_models_6_files/kia-carens-clavis-ev.webp,6,₹ 17.99 - 24.49 Lakh,"37,344"
Volkswagen Golf GTI,https://www.carandbike.com/volkswagen-cars/golf-gti,./carandbike.com_new-cars_models_6_files/volkswagen-golf-gti.webp,1,₹ 50.91 Lakh,"1,05,679"
Kia Carens Clavis,https://www.carandbike.com/kia-cars/carens-clavis,./carandbike.com_new-cars_models_6_files/kia-carens-clavis.webp,28,₹ 11.08 - 20.71 Lakh,"22,997"
Lamborghini Temerario,https://www.carandbike.com/lamborghini-cars/temerario,./carandbike.com_new-cars_models_6_files/lamborghini-temerario.webp,1,₹ 5.87 Crore,"12,19,372"
Volkswagen Tiguan R-Line,https://www.carandbike.com/volkswagen-cars/tiguan-r-line,./carandbike.com_new-cars_models_6_files/volkswagen-tiguan-r-line.webp,1,₹ 45.73 Lakh,"94,928"
Mercedes-Maybach SL 680,https://www.carandbike.com/mercedes-maybach-cars/sl-680,./carandbike.com_new-cars_models_6_files/mercedes-maybach-sl-680.webp,1,₹ 4.35 Crore,"9,02,988"
Ferrari 12Cilindri,https://www.carandbike.com/ferrari-cars/12cilindri,./carandbike.com_new-cars_models_6_files/ferrari-12cilindri.webp,2,₹ 8.5 - 9.15 Crore,"17,64,460"
Maserati GranTurismo,https://www.carandbike.com/maserati-cars/granturismo,./carandbike.com_new-cars_models_6_files/maserati-granturismo.webp,2,₹ 3.09 - 3.3 Crore,"6,41,886"
BMW 7 Protection,https://www.carandbike.com/bmw-cars/7-protection,./carandbike.com_new-cars_models_6_files/bmw-7-protection.webp,1,₹ 18.28 Crore,"37,94,886"
Ferrari 296 GTS,https://www.carandbike.com/ferrari-cars/296-gts,./carandbike.com_new-cars_models_6_files/ferrari-296-gts.webp,1,₹ 5.9 Crore,"12,25,304"
Ferrari 296 GTB,https://www.carandbike.com/ferrari-cars/296-gtb,./carandbike.com_new-cars_models_6_files/ferrari-296-gtb.webp,1,₹ 5.11 Crore,"10,60,359"
Ferrari Roma,https://www.carandbike.com/ferrari-cars/roma,./carandbike.com_new-cars_models_6_files/ferrari-roma.webp,1,₹ 3.56 Crore,"7,38,324"
New Hyundai Venue N Line,https://www.carandbike.com/hyundai-cars/venue-n-line,./carandbike.com_new-cars_models_6_files/hyundai-venue-n-line.webp,6,₹ 10.55 - 15.48 Lakh,"21,908"
BYD Sealion 7,https://www.carandbike.com/byd-cars/sealion-7,./carandbike.com_new-cars_models_6_files/byd-sealion-7.webp,2,₹ 56.72 - 63.68 Lakh,"1,17,749"
Kia Syros,https://www.carandbike.com/kia-cars/syros,./carandbike.com_new-cars_models_6_files/kia-syros.webp,13,₹ 8.67 - 15.94 Lakh,"17,999"
MG Cyberster,https://www.carandbike.com/mg-cars/cyberster,./carandbike.com_new-cars_models_6_files/mg-cyberster.webp,1,₹ 75 Lakh,"1,55,684"
Hyundai Creta EV,https://www.carandbike.com/hyundai-cars/creta-ev,./carandbike.com_new-cars_models_6_files/hyundai-creta-ev.webp,25,₹ 18.02 - 24.55 Lakh,"37,411"
Lotus Emeya,https://www.carandbike.com/lotus-cars/emeya,./carandbike.com_new-cars_models_6_files/lotus-emeya.webp,3,₹ 2.34 Crore,"4,84,730"
BMW ix1 L,https://www.carandbike.com/bmw-cars/ix1-l,./carandbike.com_new-cars_models_6_files/bmw-ix1-l.webp,1,₹ 57.88 Lakh,"1,20,157"
Mercedes-Benz G 580 EV,https://www.carandbike.com/mercedes-benz-cars/g-580-ev,./carandbike.com_new-cars_models_6_files/mercedes-benz-g-580-ev.webp,1,₹ 3.1 Crore,"6,43,509"
Maruti Suzuki Dzire 2025,https://www.carandbike.com/maruti-suzuki-cars/2025-new-dzire,./carandbike.com_new-cars_models_6_files/maruti-suzuki-2025-new-dzire.webp,9,₹ 6.26 - 9.31 Lakh,"12,986"
Skoda Kylaq,https://www.carandbike.com/skoda-cars/kylaq,./carandbike.com_new-cars_models_6_files/skoda-kylaq.webp,14,₹ 7.55 - 12.8 Lakh,"15,665"
BYD eMAX 7,https://www.carandbike.com/byd-cars/emax-7,./carandbike.com_new-cars_models_6_files/byd-emax-7.webp,4,₹ 31.21 - 34.69 Lakh,"64,778"
MG Windsor EV,https://www.carandbike.com/mg-cars/windsor-ev,./carandbike.com_new-cars_models_6_files/mg-windsor-ev.webp,5,₹ 14 - 17.25 Lakh,"29,058"
Volvo EX40,https://www.carandbike.com/volvo-cars/ex40,./carandbike.com_new-cars_models_6_files/volvo-ex40.webp,2,₹ 65.07 - 67.16 Lakh,"1,35,085"
Mercedes-Maybach 2024 EQS Electric,https://www.carandbike.com/mercedes-maybach-cars/eqs-electric,./carandbike.com_new-cars_models_6_files/mercedes-maybach-eqs-electric.webp,2,₹ 2.4 - 2.63 Crore,"4,98,201"
Tata Curvv,https://www.carandbike.com/tata-cars/curvv,./carandbike.com_new-cars_models_6_files/tata-curvv.webp,33,₹ 9.66 - 18.54 Lakh,"20,046"
Lamborghini Urus SE,https://www.carandbike.com/lamborghini-cars/urus-se,./carandbike.com_new-cars_models_6_files/lamborghini-urus-se.webp,1,₹ 4.47 Crore,"9,28,755"
Mercedes-Benz CLE Cabriolet,https://www.carandbike.com/mercedes-benz-cars/cle-cabriolet,./carandbike.com_new-cars_models_6_files/mercedes-benz-cle-cabriolet.webp,1,₹ 1.17 Crore,"2,42,873"
Maserati Grecale,https://www.carandbike.com/maserati-cars/grecale,./carandbike.com_new-cars_models_6_files/maserati-grecale.webp,3,₹ 1.49 - 2.33 Crore,"3,09,148"
Porsche Macan Electric,https://www.carandbike.com/porsche-cars/macan-electric,./carandbike.com_new-cars_models_6_files/porsche-macan-electric.webp,3,₹ 1.41 - 1.96 Crore,"2,93,324"
Mercedes-AMG S 63 E Performance,https://www.carandbike.com/mercedes-amg-cars/s-63-e-performance,./carandbike.com_new-cars_models_6_files/mercedes-amg-s-63-e-performance.webp,1,₹ 3.34 Crore,"6,93,329"
BMW i5,https://www.carandbike.com/bmw-cars/i5,./carandbike.com_new-cars_models_6_files/bmw-i5.webp,1,₹ 1.38 Crore,"2,86,534"
Lamborghini Revuelto,https://www.carandbike.com/lamborghini-cars/revuelto,./carandbike.com_new-cars_models_6_files/lamborghini-revuelto.webp,1,₹ 8.7 Crore,"18,06,703"
Lotus Eletre,https://www.carandbike.com/lotus-cars/eletre,./carandbike.com_new-cars_models_6_files/lotus-eletre.webp,3,₹ 2.55 - 2.99 Crore,"5,29,338"
Honda City Hybrid eHEV,https://www.carandbike.com/honda-cars/city-hybrid-ehev,./carandbike.com_new-cars_models_6_files/honda-city-hybrid-ehev.webp,1,₹ 19.48 Lakh,"40,441"
Tata Harrier EV,https://www.carandbike.com/tata-cars/harrier-ev,./carandbike.com_new-cars_models_6_files/tata-harrier-ev.webp,16,₹ 24.93 - 35.07 Lakh,"51,752"
Lotus Emira,https://www.carandbike.com/lotus-cars/emira,./carandbike.com_new-cars_models_6_files/lotus-emira.webp,2,₹ 1.93 - 2.27 Crore,"4,01,182"
Mercedes-Benz EQS SUV,https://www.carandbike.com/mercedes-benz-cars/eqs-suv,./carandbike.com_new-cars_models_6_files/mercedes-benz-eqs-suv.webp,2,₹ 1.33 - 1.48 Crore,"2,77,124"
MINI Countryman E,https://www.carandbike.com/mini-cars/countryman-e,./carandbike.com_new-cars_models_6_files/mini-countryman-e.webp,2,₹ 63.68 - 71.92 Lakh,"1,32,196"
Mercedes-Benz EQA,https://www.carandbike.com/mercedes-benz-cars/eqa,./carandbike.com_new-cars_models_6_files/mercedes-benz-eqa.webp,1,₹ 67.2 Lakh,"1,39,496"
Mercedes-Benz EQB,https://www.carandbike.com/mercedes-benz-cars/eqb,./carandbike.com_new-cars_models_6_files/mercedes-benz-eqb.webp,2,₹ 67.2 - 78.9 Lakh,"1,39,496"
Ferrari Purosangue SUV,https://www.carandbike.com/ferrari-cars/purosangue-suv,./carandbike.com_new-cars_models_6_files/ferrari-purosangue-suv.webp,1,₹ 9.93 Crore,"20,61,810"
Force Motors Trax Cruiser,https://www.carandbike.com/force-motors-cars/trax-cruiser,./carandbike.com_new-cars_models_6_files/force-motors-trax-cruiser.webp,4,₹ 16.24 - 17.9 Lakh,"33,710"
Toyota Urban Cruiser Taisor,https://www.carandbike.com/toyota-cars/urban-cruiser-taisor,./carandbike.com_new-cars_models_6_files/toyota-urban-cruiser-taisor.webp,12,₹ 7.21 - 12.06 Lakh,"14,971"
Hyundai Creta N Line,https://www.carandbike.com/hyundai-cars/creta-n-line,./carandbike.com_new-cars_models_6_files/hyundai-creta-n-line.webp,12,₹ 16.35 - 20.09 Lakh,"33,938"
BYD Seal,https://www.carandbike.com/byd-cars/seal,./carandbike.com_new-cars_models_6_files/byd-seal.webp,3,₹ 47.6 - 61.75 Lakh,"98,806"
Rolls-Royce Spectre,https://www.carandbike.com/rolls-royce-cars/spectre,./carandbike.com_new-cars_models_6_files/rolls-royce-spectre.webp,2,₹ 8.71 - 11.04 Crore,"18,08,811"
Lexus LM 350,https://www.carandbike.com/lexus-cars/lm,./carandbike.com_new-cars_models_6_files/lexus-lm.webp,2,₹ 2.15 - 2.69 Crore,"4,47,093"
Aston Martin DB12,https://www.carandbike.com/aston-martin-cars/db12,./carandbike.com_new-cars_models_6_files/aston-martin-db12.webp,1,₹ 4.34 Crore,"9,01,305"
BMW iX1,https://www.carandbike.com/bmw-cars/ix1,./carandbike.com_new-cars_models_6_files/bmw-ix1.webp,1,₹ 77.6 Lakh,"1,61,089"
Mercedes-Benz EQE SUV,https://www.carandbike.com/mercedes-benz-cars/eqe-suv,./carandbike.com_new-cars_models_6_files/mercedes-benz-eqe-suv.webp,1,₹ 1.41 Crore,"2,93,523"
Volvo C40 Recharge,https://www.carandbike.com/volvo-cars/c40-recharge,./carandbike.com_new-cars_models_6_files/volvo-c40-recharge.webp,1,₹ 73.02 Lakh,"1,51,578"
Audi Q8 E-Tron Sportback,https://www.carandbike.com/audi-cars/q8-e-tron-sportback,./carandbike.com_new-cars_models_6_files/audi-q8-e-tron-sportback.webp,2,₹ 1.19 - 1.32 Crore,"2,47,502"
Audi Q8 E-Tron,https://www.carandbike.com/audi-cars/q8-e-tron,./carandbike.com_new-cars_models_6_files/audi-q8-e-tron.webp,2,₹ 1.33 - 1.47 Crore,"2,76,708"
Mercedes-AMG SL-Class,https://www.carandbike.com/mercedes-amg-cars/sl-class,./carandbike.com_new-cars_models_6_files/mercedes-amg-sl-class.webp,1,₹ 2.47 Crore,"5,13,147"
Mercedes-AMG GT 4-Door Coupe,https://www.carandbike.com/mercedes-amg-cars/gt-4-door-coupe,./carandbike.com_new-cars_models_6_files/mercedes-amg-gt-4-door-coupe.webp,1,₹ 3.34 Crore,"6,93,329"
Maruti Suzuki Grand Vitara,https://www.carandbike.com/maruti-suzuki-cars/grand-vitara,./carandbike.com_new-cars_models_6_files/maruti-suzuki-grand-vitara.webp,27,₹ 11.03 - 19.66 Lakh,"22,889"
Mercedes-AMG EQS,https://www.carandbike.com/mercedes-amg-cars/eqs,./carandbike.com_new-cars_models_6_files/mercedes-amg-eqs.webp,1,₹ 1.88 Crore,"3,90,068"
Toyota Fortuner Legender,https://www.carandbike.com/toyota-cars/fortuner-legender,./carandbike.com_new-cars_models_6_files/toyota-fortuner-legender.webp,4,₹ 41.54 - 46.75 Lakh,"86,234"
MINI Cooper S Convertible,https://www.carandbike.com/mini-cars/cooper-s-convertible,./carandbike.com_new-cars_models_6_files/mini-cooper-s-convertible.webp,1,₹ 58.5 Lakh,"1,21,436"
Mahindra XEV 9S,https://www.carandbike.com/mahindra-cars/xev-9s,./carandbike.com_new-cars_models_6_files/mahindra-xev-9s.jpeg,6,₹ 19.95 - 29.45 Lakh,"41,413"
Tata Sierra,https://www.carandbike.com/tata-cars/sierra,./carandbike.com_new-cars_models_6_files/tata-sierra.webp,17,₹ 11.49 - 18.49 Lakh,"23,851"
Mahindra Thar 2025,https://www.carandbike.com/mahindra-cars/thar,./carandbike.com_new-cars_models_6_files/mahindra-thar.jpeg,7,₹ 9.99 - 16.99 Lakh,"20,738"
New Honda 2025 Amaze,https://www.carandbike.com/honda-cars/2025-amaze,./carandbike.com_new-cars_models_6_files/honda-2025-amaze.webp,6,₹ 7.41 - 10 Lakh,"15,378"
Mahindra XEV 9e,https://www.carandbike.com/mahindra-cars/xev-9e,./carandbike.com_new-cars_models_6_files/mahindra-xev-9e.jpeg,17,₹ 21.9 - 32 Lakh,"45,461"
Mahindra BE 6,https://www.carandbike.com/mahindra-cars/be-6e,./carandbike.com_new-cars_models_6_files/mahindra-be-6e.webp,25,₹ 18.9 - 28.4 Lakh,"39,233"
Mahindra Thar Roxx,https://www.carandbike.com/mahindra-cars/thar-roxx,./carandbike.com_new-cars_models_6_files/mahindra-thar-roxx.jpeg,25,₹ 12.25 - 22.06 Lakh,"25,431"
MINI Cooper S 2025,https://www.carandbike.com/mini-cars/cooper-s-2024,./carandbike.com_new-cars_models_6_files/mini-cooper-s-2024.jpeg,4,₹ 49.68 - 61.85 Lakh,"1,03,134"
Mercedes-Maybach GLS,https://www.carandbike.com/mercedes-maybach-cars/gls,./carandbike.com_new-cars_models_6_files/mercedes-maybach-gls.webp,2,₹ 3.39 - 3.46 Crore,"7,03,916"
Mahindra XUV 3XO,https://www.carandbike.com/mahindra-cars/xuv-3xo,./carandbike.com_new-cars_models_6_files/mahindra-xuv-3xo.webp,29,₹ 7.28 - 14.4 Lakh,"15,118"
Mahindra Bolero Neo Plus,https://www.carandbike.com/mahindra-cars/bolero-neo-plus,./carandbike.com_new-cars_models_6_files/mahindra-bolero-neo-plus.webp,2,₹ 10.77 - 11.8 Lakh,"22,348"
Mercedes-Benz G-Class,https://www.carandbike.com/mercedes-benz-cars/g-class,./carandbike.com_new-cars_models_6_files/mercedes-benz-g-class.webp,3,₹ 2.38 - 2.9 Crore,"4,94,049"
Mercedes-AMG A 45,https://www.carandbike.com/mercedes-amg-cars/a-45,./carandbike.com_new-cars_models_6_files/mercedes-amg-a-45.webp,1,₹ 1 Crore,"2,06,495"
Maruti Suzuki Brezza,https://www.carandbike.com/maruti-suzuki-cars/brezza,./carandbike.com_new-cars_models_6_files/maruti-suzuki-brezza.webp,15,₹ 8.26 - 13.01 Lakh,"17,144"
Hyundai Aura,https://www.carandbike.com/hyundai-cars/aura,./carandbike.com_new-cars_models_6_files/hyundai-aura.webp,11,₹ 5.98 - 8.42 Lakh,"12,420"
Mercedes-Benz EQS,https://www.carandbike.com/mercedes-benz-cars/eqs,./carandbike.com_new-cars_models_6_files/mercedes-benz-eqs.webp,2,₹ 1.51 - 1.8 Crore,"3,13,019"
Audi RS E-Tron GT,https://www.carandbike.com/audi-cars/rs-e-tron-gt,./carandbike.com_new-cars_models_6_files/audi-rs-e-tron-gt.webp,1,₹ 2.37 Crore,"4,92,518"
Mercedes-Benz A-Class Limousine,https://www.carandbike.com/mercedes-benz-cars/a-class-limousine,./carandbike.com_new-cars_models_6_files/mercedes-benz-a-class-limousine.webp,2,₹ 46.05 - 48.55 Lakh,"95,592"
Porsche Cayenne Coupe,https://www.carandbike.com/porsche-cars/cayenne-coupe,./carandbike.com_new-cars_models_6_files/porsche-cayenne-coupe.webp,3,₹ 1.76 - 2.38 Crore,"3,65,784"
Rolls-Royce Cullinan,https://www.carandbike.com/rolls-royce-cars/cullinan,./carandbike.com_new-cars_models_6_files/rolls-royce-cullinan.webp,3,₹ 1.19 - 7.9 Crore,"2,47,792"
Aston Martin Vantage,https://www.carandbike.com/aston-martin-cars/vantage,./carandbike.com_new-cars_models_6_files/aston-martin-vantage.webp,1,₹ 3.77 Crore,"7,83,488"
